Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
Show task counts by status for :project_name.,Summarize tasks by workflow status for :project_name.,How many tasks are in each status for :project_name?,project_name,"SELECT ts.task_status_id, ts.status_name, ts.status_type, COUNT(*) AS task_count FROM tbl_project_tasks t JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE p.title = :project_name AND t.status = 1 AND t.archive = 0 GROUP BY ts.task_status_id, ts.status_name, ts.status_type ORDER BY ts.status_order, ts.status_name;",,Tool,get_project_task_status_counts,"Returns task counts for one project grouped by workflow status, including status_type so open and closed can be derived reliably. Params: project_name. Counts only - the row lists are get_project_open_tasks and get_project_completed_tasks."
Show task workload by user for :project_name.,How many tasks does each person have on :project_name?,Summarize assigned tasks by team member.,project_name,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS team_member,
    COUNT(DISTINCT t.task_id) AS total_tasks,
    SUM(t.estimate) AS total_estimated_hours,
    SUM(t.actual_hours) AS total_actual_hours,
    AVG(t.percent_complete) AS average_completion_percentage
FROM tbl_projects p
INNER JOIN tbl_project_tasks t
    ON p.project_id = t.project_id
INNER JOIN tbl_project_task_users tu
    ON t.task_id = tu.task_id
INNER JOIN tbl_users u
    ON tu.user_id = u.user_id
WHERE
    p.title = 'Project Name'          -- Replace with actual project name
    AND p.status = 1
    AND p.archive = 0
    AND t.status = 1
    AND t.archive = 0
    AND tu.status = 1
GROUP BY
    p.project_id,
    p.project_key,
    p.title,
    u.user_id,
    u.first_name,
    u.last_name
ORDER BY
    total_tasks DESC,
    team_member;",,Tool,get_project_task_workload,"Returns per-member task workload for one project - task count, estimated and actual hours, average completion. Use for workload balance. Params: project_name. For time actually booked use get_project_hours_by_user."
How many hours did I log today?,Show my time entries for today.,What is my total logged time today?,"current_user, current_date","SELECT ts.user_id, ts.timesheet_date, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_timesheets ts WHERE ts.user_id = :current_user_id AND ts.timesheet_date = CURRENT_DATE GROUP BY ts.user_id, ts.timesheet_date;",,Tool,get_my_hours_today,"Returns the signed-in user's total logged hours for today from tbl_timesheets. Params: current_user (numeric user_id), current_date."
How many hours did I log between :start_date and :end_date?,Show my logged time for the selected period.,Total my timesheet hours for the period.,"current_user, start_date, end_date","SELECT ts.user_id, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_timesheets ts WHERE ts.user_id = :current_user_id AND ts.timesheet_date BETWEEN :start_date AND :end_date GROUP BY ts.user_id;",,Tool,get_my_hours_in_range,"Returns the signed-in user's total logged hours across an inclusive date range. Params: current_user (numeric user_id), start_date, end_date."
Show hours logged by :employee_name between :start_date and :end_date.,How much time did :employee_name record?,List :employee_name’s timesheet total.,"employee_name, start_date, end_date","SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_users u JOIN tbl_timesheets ts ON ts.user_id = u.user_id WHERE CONCAT_WS(' ', u.first_name, u.last_name) = :employee_name AND ts.timesheet_date BETWEEN :start_date AND :end_date GROUP BY u.user_id, u.first_name, u.last_name;",,Tool,get_employee_hours_in_range,"Returns total logged hours for a named employee across an inclusive date range. Params: employee_name (exact first + last name), start_date, end_date. Use get_my_hours_in_range for the signed-in user."
How many hours were logged on :project_name between :start_date and :end_date?,Show total project time for the period.,What is the booked effort on :project_name?,"project_name, start_date, end_date","SELECT p.project_id, p.title AS project_title, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_timesheets ts JOIN tbl_project_tasks t ON t.task_id = ts.task_id JOIN tbl_projects p ON p.project_id = t.project_id WHERE p.title = :project_name AND ts.timesheet_date BETWEEN :start_date AND :end_date GROUP BY p.project_id, p.title;",,Tool,get_project_hours_in_range,"Returns total hours logged against one project in a date range, from timesheets joined through its tasks. Params: project_name, start_date, end_date. Only time booked against that project's tasks counts."
Show hours by user for :project_name.,Who logged how much time on :project_name?,Break down project hours by team member.,"project_name, start_date, end_date","SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_timesheets ts JOIN tbl_project_tasks t ON t.task_id = ts.task_id JOIN tbl_projects p ON p.project_id = t.project_id JOIN tbl_users u ON u.user_id = ts.user_id WHERE p.title = :project_name AND ts.timesheet_date BETWEEN :start_date AND :end_date GROUP BY u.user_id, u.first_name, u.last_name ORDER BY total_hours DESC;",,Tool,get_project_hours_by_user,"Returns hours logged on one project broken down by team member. Use for 'who spent how long on X'. Params: project_name, start_date, end_date. The project total without the split is get_project_hours_in_range."
How many hours were logged against task :task_reference?,Show booked time for :task_reference.,What is the total effort recorded on :task_reference?,"task_reference, start_date, end_date","SELECT t.task_id, t.reference_no, t.title, SUM(ts.hours * 60 + ts.minutes) / 60.0 AS total_hours FROM tbl_project_tasks t LEFT JOIN tbl_timesheets ts ON ts.task_id = t.task_id WHERE t.reference_no = :task_reference GROUP BY t.task_id, t.reference_no, t.title;",,Tool,get_task_logged_hours,"Returns total timesheet hours logged against one task. Params: task_reference, optional start_date and end_date. This is the timesheet figure; the stored task actual_hours used by get_task_estimate_vs_actual can differ."
Show logged hours by project task type.,Break down timesheet hours by task type.,How much time was recorded for each task type?,"start_date, end_date",,,Needs SQL (Tool),get_hours_by_task_type,"Intended to break down logged timesheet hours by project task type. SQL NOT YET WRITTEN. Params: start_date, end_date. Available today: get_project_hours_in_range and get_project_hours_by_user, neither of which segments by task type."
Who has no timesheet entries for :date?,Show users who did not log time on :date.,List missing time entries for :date.,"date, population_scope","SELECT
    u.user_id,
    u.username,
    CONCAT(u.first_name, ' ', u.last_name) AS user_name,
    u.email,
    u.designation
FROM tbl_users u
LEFT JOIN tbl_timesheets ts
    ON u.user_id = ts.user_id
    AND ts.timesheet_date = '2026-08-10'      -- Replace with required date
WHERE
    u.enabled = 1
    AND u.verified = 1
    AND u.is_block = 0
    AND ts.user_id IS NULL
ORDER BY
    user_name;",,Tool,get_missing_timesheet_users,"Lists enabled users with no timesheet entry for a given date. Use for timesheet-compliance chasing. Params: date, population_scope. Caveat: the published SQL hardcodes 2026-08-10 - bind :date before execution."
Who logged more than :hours_threshold hours on :date?,Show high-hour timesheet entries.,List users exceeding the daily-hours threshold.,"date, hours_threshold","SELECT
    u.user_id,
    u.username,
    CONCAT(u.first_name, ' ', u.last_name) AS user_name,
    u.email,
    ts.timesheet_date,
    SUM(ts.hours) AS total_hours,
    SUM(ts.minutes) AS total_minutes,
    ROUND(SUM(ts.hours) + (SUM(ts.minutes) / 60), 2) AS total_logged_hours
FROM tbl_timesheets ts
INNER JOIN tbl_users u
    ON ts.user_id = u.user_id
WHERE
    ts.timesheet_date = '2026-08-10'      -- Replace with required date
    AND u.enabled = 1
    AND u.verified = 1
    AND u.is_block = 0
GROUP BY
    u.user_id,
    u.username,
    u.first_name,
    u.last_name,
    u.email,
    ts.timesheet_date
HAVING
    ROUND(SUM(ts.hours) + (SUM(ts.minutes) / 60), 2) > 8    -- Replace with required threshold
ORDER BY
    total_logged_hours DESC;",,Tool,get_high_hour_timesheet_users,"Lists users whose logged hours on a given date exceed a threshold. Use for outlier detection. Params: date, hours_threshold."
Compare timesheet hours with task actual hours for :project_name.,Show discrepancies between booked time and task actual hours.,Do task actuals match timesheet totals?,project_name,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    pt.task_id,
    pt.reference_no,
    pt.title AS task_name,
    pt.actual_hours AS task_actual_hours,
    ROUND(SUM(ts.hours + (ts.minutes / 60)),2) AS timesheet_hours,
    ROUND(SUM(ts.hours + (ts.minutes / 60)) - pt.actual_hours,2) AS variance_hours,
    CASE
        WHEN ROUND(SUM(ts.hours + (ts.minutes / 60)),2) = pt.actual_hours
            THEN 'Matched'
        WHEN ROUND(SUM(ts.hours + (ts.minutes / 60)),2) > pt.actual_hours
            THEN 'Timesheet Greater'
        ELSE 'Task Actual Greater'
    END AS comparison_status
FROM tbl_projects p
INNER JOIN tbl_project_tasks pt
    ON p.project_id = pt.project_id
LEFT JOIN tbl_timesheets ts
    ON pt.task_id = ts.task_id
WHERE
    p.title = 'Project Name'      -- Replace with actual project name
    AND p.status = 1
    AND p.archive = 0
    AND pt.status = 1
    AND pt.archive = 0
GROUP BY
    p.project_id,
    p.project_key,
    p.title,
    pt.task_id,
    pt.reference_no,
    pt.title,
    pt.actual_hours
ORDER BY
    variance_hours DESC;",,Tool,get_project_timesheet_vs_actual,"Compares each task's stored actual hours against the sum of its timesheet entries for one project, with the variance. Use to check the two reconcile before trusting either as effort. Params: project_name."
What is the approval status of my timesheet?,Show whether my timesheet is approved.,Are my time entries pending approval?,"current_user, period",,,Blocked - Data Not Available,get_my_timesheet_approval_status,"Intended to return the approval state of the signed-in user's timesheet. NOT EXECUTABLE - timesheet approval state is not captured in this instance, so approved, pending and rejected cannot be distinguished. Params: current_user, period."
Which timesheets were rejected?,Show rejected time entries.,List declined timesheets.,period,,,Blocked - Data Not Available,get_rejected_timesheets,Intended to list rejected timesheets. NOT EXECUTABLE - no timesheet approval or rejection data is populated in this instance. Params: period.
What projects am I allocated to?,Show my current project allocations.,List projects where I am a member.,"current_user, as_of_date","SELECT p.project_id, p.project_key, p.title, pu.access_type, pu.role_id, pu.allocation_from, pu.allocation_to, pu.allocation_hrs, pu.resource_type, pu.request_status FROM tbl_project_users pu JOIN tbl_projects p ON p.project_id = pu.project_id WHERE pu.user_id = :current_user_id AND pu.status = 1 AND pu.request_status = 'A' ORDER BY pu.allocation_from DESC, p.title;",,Tool,get_my_allocations,"Lists the projects the signed-in user is allocated to, with allocation hours, role and request status. Params: current_user, as_of_date. allocation_from/allocation_to are unpopulated here, so this is a current snapshot and as_of_date is not honoured."
Show allocations for :employee_name.,Which projects is :employee_name allocated to?,List :employee_name’s project assignments.,"employee_name, as_of_date","SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, p.project_id, p.title AS project_title, pu.allocation_from, pu.allocation_to, pu.allocation_hrs, pu.resource_type, pu.access_type, pu.request_status FROM tbl_users u JOIN tbl_project_users pu ON pu.user_id = u.user_id JOIN tbl_projects p ON p.project_id = pu.project_id WHERE CONCAT_WS(' ', u.first_name, u.last_name) = :employee_name AND pu.status = 1 ORDER BY pu.allocation_from DESC, p.title;",,Tool,get_employee_allocations,"Lists project allocations for a named employee. Params: employee_name, as_of_date. Current snapshot only - allocation dates are unpopulated, so as_of_date has no effect."
Who is allocated to :project_name?,Show the team of :project_name.,List project members for :project_name.,project_name,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, u.email, pu.access_type, pu.role_id, pu.allocation_from, pu.allocation_to, pu.allocation_hrs, pu.resource_type, pu.request_status FROM tbl_projects p JOIN tbl_project_users pu ON pu.project_id = p.project_id JOIN tbl_users u ON u.user_id = pu.user_id WHERE p.title = :project_name AND pu.status = 1 ORDER BY employee_name;",,Tool,get_project_team,"Lists the members allocated to one project, with access type, role, allocation hours and request status. Use for the team roster. Params: project_name. For the headcount alone use get_project_active_user_count."
Show allocated hours by user for :project_name.,How many hours is each user allocated to :project_name?,List resource allocation hours for :project_name.,project_name,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, pu.allocation_hrs, pu.allocation_from, pu.allocation_to, pu.resource_type FROM tbl_projects p JOIN tbl_project_users pu ON pu.project_id = p.project_id JOIN tbl_users u ON u.user_id = pu.user_id WHERE p.title = :project_name AND pu.status = 1 AND pu.request_status = 'A' ORDER BY pu.allocation_hrs DESC, employee_name;",,Tool,get_project_allocated_hours,Returns allocated hours per user for one project. Params: project_name. Compare against time actually booked using get_project_hours_by_user; the allocation date columns are unpopulated in this instance.
Whose project allocation ends in the next :days days?,Show allocations ending soon.,List users rolling off projects soon.,days,"-- Resolved 2026-08-27: allocation_to is not populated in this PMS instance -- this question cannot be answered from the data as it exists today.
SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, p.project_id, p.title AS project_title, pu.allocation_to, pu.allocation_hrs, pu.resource_type
FROM tbl_project_users pu
JOIN tbl_projects p ON p.project_id = pu.project_id
JOIN tbl_users u ON u.user_id = pu.user_id
WHERE pu.status = 1 AND pu.request_status = 'A'
  AND pu.allocation_to >= CURRENT_DATE
  AND pu.allocation_to < DATE_ADD(CURRENT_DATE, INTERVAL :days + 1 DAY)
ORDER BY pu.allocation_to, employee_name;",,Blocked - Data Not Available,get_allocations_ending_soon,Intended to list users whose allocation ends in the next N days. NOT EXECUTABLE - tbl_project_users.allocation_to is not populated (developer-confirmed 2026-08-27). Params: days. Report the gap rather than returning empty as if nobody were rolling off.
Whose project allocation starts in the next :days days?,Show upcoming allocations.,List users joining projects soon.,days,"-- Resolved 2026-08-27: allocation_from is not populated in this PMS instance -- this question cannot be answered from the data as it exists today.
SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, p.project_id, p.title AS project_title, pu.allocation_from, pu.allocation_to, pu.allocation_hrs, pu.resource_type
FROM tbl_project_users pu
JOIN tbl_projects p ON p.project_id = pu.project_id
JOIN tbl_users u ON u.user_id = pu.user_id
WHERE pu.status = 1 AND pu.request_status IN ('A','I')
  AND pu.allocation_from >= CURRENT_DATE
  AND pu.allocation_from < DATE_ADD(CURRENT_DATE, INTERVAL :days + 1 DAY)
ORDER BY pu.allocation_from, employee_name;",,Blocked - Data Not Available,get_allocations_starting_soon,Intended to list users whose allocation starts in the next N days. NOT EXECUTABLE - tbl_project_users.allocation_from is not populated (developer-confirmed 2026-08-27). Params: days.
Show active users in department :department_name.,List department resources.,Who belongs to :department_name?,department_name,,,Needs SQL (Tool),get_department_users,"Intended to list active users in one department. SQL NOT YET WRITTEN - the confirmed department path (tbl_group_projects + tbl_groups) maps projects to departments, not users, so the user-side path is undecided. Params: department_name."
What skills does :employee_name have?,Show :employee_name’s recorded skills.,List skills for :employee_name.,employee_name,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, s.id AS skill_id, s.name AS skill_name FROM tbl_users u JOIN tbl_user_skills us ON us.user_id = u.user_id JOIN tbl_master_skills s ON s.id = us.skill_id WHERE CONCAT_WS(' ', u.first_name, u.last_name) = :employee_name AND us.status = '1' AND s.status = '1' ORDER BY s.name;",,Tool,get_employee_skills,Lists the recorded skills of a named employee from tbl_master_skills. Params: employee_name (exact first + last name). To search the other way round use get_available_users_by_skill.
Who with skill :skill_name is available between :start_date and :end_date?,Find resources with :skill_name and no overlapping allocation.,Show available :skill_name resources.,"skill_name, start_date, end_date","-- Resolved 2026-08-27: allocation_from/allocation_to are not populated -- cannot evaluate a date-range overlap.
-- Redefined as ""currently has no active allocation at all"" (drops :start_date/:end_date from the logic).
SELECT u.user_id, u.username, CONCAT(u.first_name, ' ', u.last_name) AS user_name, us.skill_id
FROM tbl_users u
INNER JOIN tbl_user_skills us ON u.user_id = us.user_id
LEFT JOIN tbl_project_users pu
    ON u.user_id = pu.user_id
    AND pu.status = 1
    AND pu.request_status = 'A'
WHERE u.enabled = 1 AND u.verified = 1 AND u.is_block = 0
  AND us.status = '1' AND us.skill_id = :skill_id
  AND pu.user_id IS NULL
ORDER BY user_name;",,Tool,get_available_users_by_skill,"Lists users holding a given skill who currently have no active allocation. Params: skill_name, start_date, end_date. Allocation dates are unpopulated, so availability means no active allocation at all and the date range is not applied - say so when reporting."
Which users have overlapping project allocations?,Show resource allocation conflicts.,List people assigned to overlapping project periods.,date_range,"SELECT
    pu.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS user_name,
    COUNT(DISTINCT pu.project_id) AS project_count
FROM tbl_project_users pu
INNER JOIN tbl_users u
    ON pu.user_id = u.user_id
WHERE
    pu.status = 1
    AND pu.request_status = 'A'
GROUP BY
    pu.user_id,
    u.first_name,
    u.last_name
HAVING COUNT(DISTINCT pu.project_id) > 1
ORDER BY
    project_count DESC;",,Tool,get_users_with_concurrent_allocations,"Lists users allocated to more than one active project at once, with a project count. Params: date_range (not honoured). True date overlap cannot be verified - allocation dates are unpopulated. With an explicit count threshold use get_users_over_project_count_threshold."
Show project roles for :project_name.,List users and role IDs on :project_name.,Who has which role on :project_name?,project_name,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, pu.role_id, r.role_name, r.role_slug FROM tbl_projects p JOIN tbl_project_users pu ON pu.project_id = p.project_id JOIN tbl_users u ON u.user_id = pu.user_id LEFT JOIN tbl_roles r ON r.role_id = pu.role_id WHERE p.title = :project_name AND pu.status = 1 ORDER BY r.role_name, employee_name;",,Tool,get_project_roles,"Lists the users on one project with their role, resolved through tbl_roles. Params: project_name. For permission level rather than role use get_project_access_type_counts."
Show access types for users on :project_name.,Who has what access on :project_name?,List project membership access levels.,project_name,"SELECT pu.access_type, COUNT(*) AS user_count FROM tbl_projects p JOIN tbl_project_users pu ON pu.project_id = p.project_id WHERE p.title = :project_name AND pu.status = 1 GROUP BY pu.access_type ORDER BY pu.access_type;",,Tool,get_project_access_type_counts,Returns the number of users on one project grouped by access type - the permission-level breakdown. Params: project_name. Counts only; for the per-user roster including access type use get_project_team.
Who is currently on the bench?,Show users with no active project allocation.,List unallocated active resources.,"as_of_date, population_scope","SELECT
    u.user_id,
    u.username,
    CONCAT(u.first_name, ' ', u.last_name) AS user_name,
    u.email,
    u.designation
FROM tbl_users u
LEFT JOIN tbl_project_users pu
    ON u.user_id = pu.user_id
    AND pu.status = 1
    AND pu.request_status = 'A'
WHERE
    u.enabled = 1
    AND u.verified = 1
    AND u.is_block = 0
    AND pu.user_id IS NULL
ORDER BY
    user_name;",,Tool,get_bench_users,"Lists enabled, verified users with no active approved project allocation - the bench. Params: as_of_date, population_scope. A current snapshot: allocation dates are unpopulated, so as_of_date is not honoured."
What is :employee_name’s allocation utilization for :period?,Show allocated hours versus capacity for :employee_name.,How utilized is :employee_name based on allocations?,"employee_name, period","SELECT
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(pu.allocation_hrs) AS total_allocated_hours
FROM tbl_project_users pu
INNER JOIN tbl_users u
    ON pu.user_id = u.user_id
WHERE
    CONCAT(u.first_name, ' ', u.last_name) = 'Zubiya Mustafa'   -- Replace with employee name
    AND pu.status = 1
    AND pu.request_status = 'A'
GROUP BY
    u.user_id,
    employee_name;",,Tool,get_employee_allocation_utilization,"Returns total allocated hours for a named employee - the allocation-based utilisation input. Params: employee_name, period (not honoured; current total only). No weekly-capacity field is stored, so the caller supplies the denominator. Caveat: the SQL hardcodes an employee name."
What is :employee_name’s timesheet utilization for :period?,Show logged hours versus available hours for :employee_name.,How utilized is :employee_name based on timesheets?,"employee_name, period","SELECT
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(ts.hours) AS total_hours,
    SUM(ts.minutes) AS total_minutes,
    ROUND(SUM(ts.hours) + (SUM(ts.minutes) / 60), 2) AS total_logged_hours
FROM tbl_timesheets ts
INNER JOIN tbl_users u
    ON ts.user_id = u.user_id
WHERE
    CONCAT(u.first_name, ' ', u.last_name) = 'Zubiya Mustafa'   -- Replace with employee name
    AND ts.timesheet_date BETWEEN '2026-08-01' AND '2026-08-31'
GROUP BY
    u.user_id,
    employee_name;",,Tool,get_employee_timesheet_utilization,"Returns total logged hours for a named employee - the timesheet-based utilisation input. Params: employee_name, period. Unlike get_employee_allocation_utilization this side is genuinely period-scoped; the capacity denominator must still be supplied by the caller."
Show utilization of resources on :project_name.,How utilized is the team on :project_name?,List project utilization by member.,"project_name, period","SELECT
    p.project_id,
    p.title AS project_name,
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(DISTINCT pu.allocation_hrs) AS allocated_hours,
    ROUND(SUM(ts.hours) + (SUM(ts.minutes) / 60), 2) AS logged_hours
FROM tbl_projects p
INNER JOIN tbl_project_users pu
    ON p.project_id = pu.project_id
INNER JOIN tbl_users u
    ON pu.user_id = u.user_id
LEFT JOIN tbl_timesheets ts
    ON pu.user_id = ts.user_id
    AND ts.task_id IN (
        SELECT task_id
        FROM tbl_project_tasks
        WHERE project_id = p.project_id
    )
WHERE
    p.title = 'PMS project move to Emerging Tech'   -- Replace with actual project name
    AND p.status = 1
    AND p.archive = 0
    AND pu.status = 1
    AND pu.request_status = 'A'
GROUP BY
    p.project_id,
    p.title,
    u.user_id,
    employee_name
ORDER BY
    employee_name;",,Tool,get_project_resource_utilization,"Returns per-member allocated hours against logged hours for one project. Params: project_name, period. The allocated side is a current total (allocation dates unpopulated); the logged side is period-scoped, so treat the comparison as indicative."
Who is below :threshold_percent utilization in :period?,Show underutilized resources.,List users below the utilization threshold.,"threshold_percent, period","SELECT
    u.user_id,
    CONCAT(u.first_name,' ',u.last_name) AS user_name,
    ms.name AS skill_name
FROM tbl_users u
INNER JOIN tbl_user_skills us
    ON u.user_id = us.user_id
INNER JOIN tbl_master_skills ms
    ON us.skill_id = ms.id
WHERE
    ms.name = 'Java'
    AND us.status = '1';",,Tool,get_underutilized_users,"Intended to list users below a utilisation threshold. DO NOT EXECUTE AS PUBLISHED - the SQL returns users filtered by skill name (Java), not utilisation; treat as needing SQL. Params: threshold_percent, period. The working counterpart is get_overutilized_users."
Who is above :threshold_percent utilization in :period?,Show highly utilized resources.,List users over the utilization threshold.,"threshold_percent, period","SELECT
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(DISTINCT pu.allocation_hrs) AS allocated_hours,
    ROUND(SUM(ts.hours) + (SUM(ts.minutes) / 60), 2) AS logged_hours
FROM tbl_users u
LEFT JOIN tbl_project_users pu
    ON u.user_id = pu.user_id
    AND pu.status = 1
    AND pu.request_status = 'A'
LEFT JOIN tbl_timesheets ts
    ON u.user_id = ts.user_id
    AND ts.timesheet_date BETWEEN '2026-08-01' AND '2026-08-31'   -- Replace with required period
WHERE
    u.enabled = 1
    AND u.verified = 1
    AND u.is_block = 0
GROUP BY
    u.user_id,
    employee_name
ORDER BY
    logged_hours DESC",,Tool,get_overutilized_users,"Returns users with allocated hours against logged hours so those above a utilisation threshold can be identified. Params: threshold_percent, period. The threshold is applied by the caller; allocated hours are a current total, logged hours are period-scoped."
Who has allocations exceeding available capacity?,Show overallocated users.,List resource capacity conflicts.,period,"-- Resolved 2026-08-27: allocation_from/allocation_to not populated -- reports CURRENT allocation, not period-scoped.
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(pu.allocation_hrs) AS total_allocated_hours,
    COUNT(DISTINCT pu.project_id) AS total_projects
FROM tbl_project_users pu
INNER JOIN tbl_users u ON pu.user_id = u.user_id
WHERE pu.status = 1 AND pu.request_status = 'A'
GROUP BY u.user_id, employee_name
ORDER BY total_allocated_hours DESC;",,Tool,get_overallocated_users,"Lists users whose total allocated hours exceed available capacity, with project count. Params: period (not honoured - current allocation only). When the caller supplies an explicit weekly capacity and tolerance use get_resources_over_capacity_threshold."
How much idle capacity is available in :period?,Show unused resource capacity.,What capacity remains unallocated?,"period, population_scope","-- Resolved 2026-08-27: allocation_from/allocation_to not populated -- reports CURRENT allocation, not period-scoped. :period effectively unused.
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    COUNT(DISTINCT pu.project_id) AS total_projects,
    COALESCE(SUM(pu.allocation_hrs), 0) AS total_allocated_hours
FROM tbl_users u
LEFT JOIN tbl_project_users pu
    ON u.user_id = pu.user_id
    AND pu.status = 1
    AND pu.request_status = 'A'
WHERE u.enabled = 1 AND u.verified = 1 AND u.is_block = 0
  AND (:population_scope = 'ALL' OR u.company_id = :population_scope)
GROUP BY u.user_id, employee_name
ORDER BY total_allocated_hours ASC;",,Tool,get_idle_capacity,"Returns unused resource capacity per user - project count and allocated hours against assumed capacity. Params: period (not applied; current snapshot), population_scope. No weekly-capacity field is stored, so the caller must supply the capacity assumption."
Show utilization by project role for :period.,Compare resource utilization across roles.,What is utilization by role?,period,"-- Resolved 2026-08-27: allocation_from/allocation_to not populated -- reports CURRENT allocation, not period-scoped. :period effectively unused.
SELECT pu.role_id,
    COUNT(DISTINCT pu.user_id) AS total_users,
    COUNT(DISTINCT pu.project_id) AS total_projects,
    SUM(pu.allocation_hrs) AS total_allocated_hours
FROM tbl_project_users pu
WHERE pu.status = 1 AND pu.request_status = 'A'
GROUP BY pu.role_id
ORDER BY total_allocated_hours DESC;",,Tool,get_utilization_by_role,"Returns utilisation aggregates grouped by project role - user count, project count, allocated hours. Params: period (not applied; current allocation snapshot). role_id resolves through tbl_roles if names are needed."
Show utilization for department :department_name in :period.,How utilized is :department_name?,Give department utilization.,"department_name, period","-- Resolved 2026-08-27: (1) department membership via tbl_group_projects + tbl_groups, not tbl_projects.department_id;
-- (2) allocation_from/allocation_to are not populated in this PMS instance -- reports CURRENT allocation, not a date-scoped period. :period is effectively unused.
SELECT g.name AS department_name,
    COUNT(DISTINCT pu.user_id) AS total_users,
    COUNT(DISTINCT gp.project_id) AS total_projects,
    SUM(pu.allocation_hrs) AS total_allocated_hours
FROM tbl_group_projects gp
INNER JOIN tbl_groups g ON gp.group_id = g.group_id AND g.status = 1
INNER JOIN tbl_project_users pu ON pu.project_id = gp.project_id
WHERE pu.status = 1 AND pu.request_status = 'A'
  AND g.name = :department_name
  AND gp.project_id <> 0
GROUP BY g.name
ORDER BY total_allocated_hours DESC;",,Tool,get_department_utilization,"Returns utilisation for the users on one department's projects. Department membership resolves via tbl_group_projects + tbl_groups, not tbl_projects.department_id. Params: department_name, period (not applied - current allocation snapshot)."
What is forecast utilization for :future_period?,Show expected resource utilization next month.,Forecast allocation-based utilization.,future_period,"-- Resolved 2026-08-27: allocation_from is not populated -- forecasting future allocation is not possible from this data.
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    COUNT(DISTINCT pu.project_id) AS total_future_projects,
    SUM(pu.allocation_hrs) AS forecast_allocated_hours
FROM tbl_project_users pu
INNER JOIN tbl_users u ON pu.user_id = u.user_id
WHERE pu.status = 1 AND pu.request_status = 'A'
  AND pu.allocation_from <= '2026-09-30'
  AND pu.allocation_to >= '2026-09-01'
GROUP BY u.user_id, employee_name
ORDER BY forecast_allocated_hours DESC;",,Blocked - Data Not Available,get_forecast_utilization,"Intended to forecast utilisation for a future period. NOT EXECUTABLE - allocation_from is not populated, so future allocation cannot be projected. Params: future_period. Offer the current snapshot (get_idle_capacity, get_overallocated_users) instead."
What is the estimate for :project_name?,Show the project estimate value.,How much effort is estimated for :project_name?,project_name,"SELECT p.project_id, p.project_key, p.title, p.estimate AS estimated_hours, p.is_approved FROM tbl_projects p WHERE p.title = :project_name AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_estimate,Returns the stored effort estimate for one project with its approval flag. Params: project_name. For booked and chargeable totals use get_project_hours_summary.
Show total booked and chargeable hours for :project_name.,What are the booked versus chargeable hours?,Summarize project hour totals.,project_name,"SELECT p.project_id, p.project_key, p.title, p.estimate AS estimated_hours, p.total_hours_booked, p.total_chargable_hours, p.grant_hours, p.combined_hours FROM tbl_projects p WHERE p.title = :project_name AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_hours_summary,"Returns the hour totals recorded on one project - estimate, booked, chargeable, grant and combined. Use for burn questions on a single project. Params: project_name."
